State n. | Speed | Steer | location(x,y) | AngularSpeed | time 
145    |24.11871119593659   |0.22368386387825012   |[2.765286922454834, 121.0302505493164]  |-0.06853600591421127  |0.0626065731048584     
146    |24.118727187112412   |0.15389088541269302   |[2.7455486953258514, 121.51222229003906]  |-0.12370871007442474  |0.06189322471618652     
147    |24.118915942770133   |0.10698948055505753   |[2.7253626883029938, 121.99417495727539]  |-0.06793476641178131  |0.06274271011352539     
148    |24.119284778273514   |0.035853758454322815   |[2.7047716081142426, 122.47611999511719]  |-0.06819958239793777  |0.0619659423828125     
149    |24.11946606260785   |-0.01568954437971115   |[2.683134227991104, 122.95802307128906]  |-0.022667700424790382  |0.06220698356628418     
150    |24.119482942950796   |-0.06962668150663376   |[2.6605043709278107, 123.43988227844238]  |-0.004631081596016884  |0.11280393600463867     
151    |24.119330881195882   |-0.1069551333785057   |[2.636626124382019, 123.92167663574219]  |0.03030475601553917  |0.06122016906738281     
152    |24.11905438735224   |-0.14048758894205093   |[2.6115702390670776, 124.40340995788574]  |0.049395110458135605  |0.06202554702758789     
153    |24.118729418559973   |-0.15942685306072235   |[2.585235446691513, 124.88506317138672]  |0.07393720746040344  |0.06279945373535156     
154    |24.11842504065862   |-0.17160270363092422   |[2.557735651731491, 125.36664772033691]  |0.0867159441113472  |0.06207776069641113     
155    |24.11818090777483   |-0.17398115247488022   |[2.5291042923927307, 125.84816360473633]  |0.09943269193172455  |0.0611414909362793     
156    |24.118018863024126   |-0.17244484275579453   |[2.4994553923606873, 126.32961082458496]  |0.10451488196849823  |0.06243562698364258     
157    |24.11792770243629   |-0.16719039529561996   |[2.468833476305008, 126.81099510192871]  |0.10875745862722397  |0.06186866760253906     
158    |24.11787955828401   |-0.16004055738449097   |[2.437290072441101, 127.29231452941895]  |0.10933053493499756  |0.06156563758850098     
159    |24.11787600363874   |0.19743714481592178   |[2.4048619866371155, 127.77358436584473]  |0.11004658788442612  |0.06252241134643555     
160    |24.117312264883058   |0.22023264318704605   |[2.3794240951538086, 128.25526428222656]  |-0.1374272108078003  |0.061975717544555664     
161    |24.115326656247277   |0.2437945082783699   |[2.3559966385364532, 128.73700332641602]  |-0.06651691347360611  |0.061865806579589844     
162    |24.11526370163567   |0.1698518916964531   |[2.3340250849723816, 129.21880912780762]  |-0.13297317922115326  |0.06215929985046387     
163    |24.11543431326733   |0.12195363640785217   |[2.3115981221199036, 129.70059204101562]  |-0.07187923789024353  |0.0618739128112793     
164    |24.11585840005043   |0.04444994032382965   |[2.2887881994247437, 130.1823616027832]  |-0.07548277080059052  |0.1280078887939453     
165    |24.116080292139035   |-0.010790973901748657   |[2.2648507952690125, 130.6640853881836]  |-0.02546037547290325  |0.06224656105041504     
166    |24.116126572606742   |-0.10468918830156326   |[2.2398626506328583, 131.14575958251953]  |-0.007603967096656561  |0.062333106994628906     
167    |24.115778979770557   |-0.14661423861980438   |[2.2127483785152435, 131.6273078918457]  |0.055081628262996674  |0.061060428619384766     
168    |24.11527037491631   |-0.18339622765779495   |[2.1840956956148148, 132.1087646484375]  |0.06773631274700165  |0.06138348579406738     
169    |24.1148101216274   |-0.19540581852197647   |[2.153882771730423, 132.5901107788086]  |0.09969969093799591  |0.061858415603637695     
170    |24.114431020572848   |-0.20362451672554016   |[2.1224198192358017, 133.07138442993164]  |0.10679960995912552  |0.06192779541015625     
171    |24.114180541644895   |-0.19883275032043457   |[2.0897207111120224, 133.55255889892578]  |0.12067145109176636  |0.06176924705505371     
172    |24.11404359160736   |-0.19224025309085846   |[2.0559726655483246, 134.03366088867188]  |0.12119884043931961  |0.06169724464416504     
173    |24.11400494519183   |-0.18077872693538666   |[2.0212101340293884, 134.51468658447266]  |0.12413343787193298  |0.061569929122924805     
174    |24.11401202748161   |0.19678723067045212   |[1.98552505671978, 134.99564743041992]  |0.12221305072307587  |0.06121230125427246     
175    |24.11362663055858   |0.22347070276737213   |[1.9571626037359238, 135.47708892822266]  |-0.13738839328289032  |0.0619509220123291     
176    |24.111454693032755   |0.24903975427150726   |[1.9309113174676895, 135.95859909057617]  |-0.06461474299430847  |0.061452388763427734     
177    |24.11138002991912   |-0.3509600833058357   |[1.9061608463525772, 136.44019317626953]  |-0.13621027767658234  |0.06176328659057617     
178    |24.10839887836164   |-0.9509607404470444   |[1.8691712468862534, 136.9209442138672]  |0.2924575209617615  |0.1197357177734375     
179    |24.080511229701628   |-1.550961434841156   |[1.815755918622017, 137.39960479736328]  |0.5462843179702759  |0.06904149055480957     
180    |24.029192800420027   |-2.1509629487991333   |[1.7431479021906853, 137.87474060058594]  |0.9080402851104736  |0.061925411224365234     
181    |23.94705215703413   |-2.0648545026779175   |[1.648450031876564, 138.34437942504883]  |1.253354787826538  |0.061884403228759766     
182    |23.93008756034741   |-1.6111430525779724   |[1.5433125160634518, 138.81142807006836]  |1.159912347793579  |0.06045818328857422     
183    |23.965724656588215   |-1.0111445188522339   |[1.4367695767432451, 139.27883911132812]  |0.9839252829551697  |0.06148338317871094     
184    |24.00244062036144   |-0.41114524006843567   |[1.3344272626563907, 139.74788665771484]  |0.6964566111564636  |0.06165957450866699     
185    |24.025448771394046   |0.18885552883148193   |[1.2392849251627922, 140.2188949584961]  |0.40448135137557983  |0.061255693435668945     
186    |24.028282902539544   |0.6271789968013763   |[1.1542730331420898, 140.69188690185547]  |0.07046300917863846  |0.06154823303222656     
187    |24.01422729948083   |0.5943408608436584   |[1.0789730325341225, 141.16624450683594]  |-0.16854912042617798  |0.061342477798461914     
188    |24.009195949274016   |0.19490912556648254   |[1.0050733909010887, 141.64071655273438]  |-0.13824260234832764  |0.06066393852233887     
189    |24.015047623181616   |-0.4050903022289276   |[0.92377158254385, 142.11408233642578]  |0.04614504799246788  |0.061392784118652344     
190    |24.00870222380018   |-1.0050910711288452   |[0.8284862982109189, 142.58470916748047]  |0.3421304523944855  |0.061316728591918945     
191    |23.979591389176093   |-1.6050907969474792   |[0.7164023872464895, 143.05104064941406]  |0.6359875202178955  |0.0611417293548584     
192    |23.925797672676424   |-2.205091714859009   |[0.5850588977336884, 143.5112648010254]  |0.9681702852249146  |0.06162214279174805     
193    |23.843136815215395   |-2.8050947189331055   |[0.4319911524653435, 143.96305084228516]  |1.3121039867401123  |0.12216997146606445     
194    |23.761470851942423   |-3.405100703239441   |[0.256016843020916, 144.40474319458008]  |1.6435459852218628  |0.06670117378234863     
195    |23.679513440254585   |-4.005111753940582   |[0.056270942091941833, 144.83449935913086]  |1.9674623012542725  |0.0608668327331543     
196    |23.578022663030858   |-4.005126953125   |[-0.16827461123466492, 145.24964904785156]  |2.285923480987549  |0.06179022789001465     
197    |23.4855172032244   |-4.005143046379089   |[-0.41338829416781664, 145.65087127685547]  |2.3366611003875732  |0.06028008460998535     
198    |23.398289143842963   |-4.00516152381897   |[-0.6773326843976974, 146.0378761291504]  |2.4305341243743896  |0.06038236618041992     
199    |23.32918279273772   |-4.005181193351746   |[-0.9597577005624771, 146.40989685058594]  |2.4925994873046875  |0.06153726577758789     
200    |23.26882918684946   |-4.005202651023865   |[-1.2602339833974838, 146.76593399047852]  |2.5504813194274902  |0.06091141700744629     
201    |23.21637129865954   |-4.005224108695984   |[-1.578268826007843, 147.10497665405273]  |2.5974619388580322  |0.061286211013793945     
202    |23.170154482725504   |-4.005247950553894   |[-1.913228659890592, 147.42599487304688]  |2.6375105381011963  |0.060663461685180664     
203    |23.129041227909163   |-4.005272388458252   |[-2.264357440173626, 147.72800064086914]  |2.6707468032836914  |0.060871124267578125     
204    |23.092065171375697   |-4.005298614501953   |[-2.630786210298538, 148.01002502441406]  |2.6984307765960693  |0.06119227409362793     
205    |23.05843843300475   |-3.405325412750244   |[-3.0115482211112976, 148.2712059020996]  |2.723612070083618  |0.06067943572998047     
206    |23.131080971222538   |-2.805342674255371   |[-3.4009988605976105, 148.52170181274414]  |2.389678478240967  |0.060485124588012695     
207    |23.235049066061798   |-2.2053557634353638   |[-3.7966979146003723, 148.7659683227539]  |2.1374106407165527  |0.06076765060424805     
208    |23.318818265232093   |-1.605362892150879   |[-4.196666061878204, 149.00622940063477]  |1.806570291519165  |0.060955047607421875     
209    |23.39319378882007   |-1.0053670406341553   |[-4.599186718463898, 149.24495315551758]  |1.4712353944778442  |0.06094026565551758     
210    |23.446889872551942   |-0.4053688049316406   |[-5.002338469028473, 149.48459243774414]  |1.1071141958236694  |0.12662386894226074     
211    |23.478620261634415   |0.19463062286376953   |[-5.404083549976349, 149.72771072387695]  |0.7309107184410095  |0.061419010162353516     
212    |23.484952928739627   |0.7946312427520752   |[-5.802195191383362, 149.97694396972656]  |0.3413720428943634  |0.07479596138000488     
213    |23.464126522362303   |1.3946318626403809   |[-6.1942280530929565, 150.2348976135254]  |-0.055792562663555145  |0.060072898864746094     
214    |23.414566383139466   |1.9946318864822388   |[-6.577477216720581, 150.5040626525879]  |-0.45822256803512573  |0.0608065128326416     
